name,price,size,color,rpm,airflow,noise_level,pwm
be quiet! Silent Wings 2,,120,Black,1500,50.5,16.5,TRUE
be quiet! Silent Wings 3,,120,Black,1450,50.5,16.4,TRUE
be quiet! Silent Wings 3,,120,Black,2200,73.33,28.6,TRUE
be quiet! Silent Wings 3,25.77,120,Black,2200,73.33,28.6,FALSE
be quiet! Silent Wings 3,,120,Black,1450,50.5,16.4,FALSE
be quiet! Silent Wings 4,17.89,120,Black,2500,76.7,"32.1,31.2",TRUE
be quiet! Silent Wings 4,17.89,120,Black,1600,48.7,18.9,TRUE
be quiet! Silent Wings 4,24.9,120,White,2500,76.7,31.2,TRUE
be quiet! Silent Wings 4,24.9,120,White,1600,48.7,18.9,TRUE
be quiet! Silent Wings 4,22.9,120,Black,1600,48.7,18.9,FALSE
be quiet! Silent Wings Pro 4,27.9,120,Black,3000,83.9,36.9,TRUE
be quiet! Silent Wings Pro 4,32.9,120,White,3000,83.9,36.9,TRUE
BGears b-ARGB Vortex,18.99,120,White / Black,"6,001,800",101,28,TRUE
BitFenix Spectre,,120,Black,1000,43.5,20,FALSE
BitFenix Spectre,,120,Black,1000,43.5,20,FALSE
BitFenix Spectre,,120,White,1800,51.3,22.5,FALSE
BitFenix Spectre,,120,White,1000,43.5,20,FALSE
BitFenix Spectre,,120,Black,1000,43.5,20,FALSE
BitFenix Spectre,,120,Black,1000,43.5,20,FALSE
BitFenix Spectre,,120,Black,1000,43.5,20,FALSE
BitFenix Spectre,,120,Translucent Black,1800,51.3,22.5,TRUE
BitFenix Spectre,,120,Translucent Black,1800,51.3,22.5,FALSE
BitFenix Spectre,,120,Translucent Black,"7,001,800",51.3,22.5,TRUE
BitFenix Spectre,,120,Black,1000,43.5,20,FALSE
BitFenix Spectre,,120,Translucent Black,"7,001,800",51.3,22.5,TRUE
BitFenix Spectre,,120,Translucent Black,"7,001,800",51.3,22.5,TRUE
BitFenix Spectre,,120,Black,"7,001,800",51.3,22.5,TRUE
BitFenix Spectre Pro,,120,Black / White,1200,56.22,18.9,FALSE
BitFenix Spectre Pro,,120,Black,1200,56.22,18.89,FALSE
BitFenix Spectre Pro,,120,White,1200,56.22,18.89,FALSE
BitFenix Spectre Pro,,120,Black,"5,001,800",70.52,26.1,TRUE
BitFenix Spectre Pro,,120,Black / White,1200,56.22,18.9,FALSE
BitFenix Spectre Pro,,120,Black,1200,56.22,18.89,FALSE
BitFenix Spectre Pro,,120,Clear,1200,56.22,18.89,FALSE
BitFenix Spectre Pro,,120,Black,1200,56.22,18.89,FALSE
BitFenix Spectre Pro,,120,Black,1200,56.22,18.89,FALSE
BitFenix Spectre Pro,,120,White,"5,001,800",70.52,26.1,TRUE
BitFenix Spectre Xtreme,,120,Black / Blue,"9,502,000",66,30,FALSE
BitFenix Spectre Xtreme,,120,Black / Green,"9,502,000",66,30,FALSE
BitFenix Spectre Xtreme,,120,Black,"9,502,000",66,30,FALSE
BitFenix Spectre Xtreme,9.99,120,Black / Red,"9,502,000",66,30,FALSE
BitFenix Spectre Xtreme,,120,Black / White,"9,502,000",66,30,FALSE
Bitspower NJord Dual Fin 3-Pack,,120,Black / White,"8,001,800","53,56.9","25,28",TRUE
Bitspower Notos,10.69,120,Black / White,"8,001,800",,"25,28",TRUE
Bitspower Notos 3-Pack,69.98,120,Black / White,"8,001,800",,"25,28",TRUE
Bitspower Notos 5-Pack,,120,Black / White,"8,001,800",,"25,28",TRUE
Bitspower Touchaqua NJORD RGB 3-Pack,,120,Black / White,"8,002,000",70,29,TRUE
Cooler Master Blade Master,,120,Black,"6,002,000","21.2,76.8","13,32",TRUE
Cooler Master Excalibur,,120,Black,"6,002,000","26.4,85.6","13,30",FALSE
Cooler Master JetFlo,29.99,120,Black,"12,002,000",95,36,TRUE
Cooler Master JetFlo,,120,Black,"12,002,000",95,36,TRUE
Cooler Master JetFlo,,120,Black,"12,002,000",95,36,TRUE
Cooler Master JetFlo,,120,Black,"12,002,000",95,36,TRUE
Cooler Master MasterFan Lite,,120,Black,1200,32,25,FALSE
Cooler Master MasterFan Lite,,120,Black,1200,32,25,FALSE
Cooler Master MasterFan Lite,,120,Black,1200,32,25,FALSE
Cooler Master MasterFan MF Halo,21.99,120,Black,"6,501,800",47.2,"6,30",TRUE
Cooler Master MasterFan MF Halo,22.79,120,White,"6,501,800",47.2,"6,30",TRUE
Cooler Master MasterFan MF Halo 3-Pack,56.03,120,Black,"6,501,800",47.2,"6,30",TRUE
Cooler Master MasterFan MF Halo 3-Pack,72.2,120,White,"6,501,800",47.2,"6,30",TRUE
Cooler Master MasterFan MF Prismatic,31.02,120,Black / White,"6,502,000",55,"8,27",TRUE
Cooler Master MasterFan MF Prismatic 3-Pack,79.13,120,Black / White,"6,502,000",55,"8,27",TRUE
